Level,Average Acceleration (m/s^2),Thruster Force (N)
1,6.4845615044929e-14,3.7434725109287e-08
2,7.3463728175744e-13,4.2409875638575e-07
3,4.3000633593341e-06,2.48238357671
4,10.108461717703,6862455.8489052
5,10.099198620416,8518581.5878268
6,10.104801143989,10194539.432603
7,10.019351150846,11733496.487667
8,10.015629544397,13339379.57417
9,10.00740151912,14925377.975805
10,10.003883258042,16497768.920662
11,10.008546091495,18077742.831753
12,10.017515575608,19669847.424291
13,10.02524091316,21224856.025728
14,10.019505714342,22738033.240726
15,10.014874714742,24243094.778617
