Level,Average Acceleration (m/s^2),Thruster Force (N)
1,1.7473122702879e-06,0.10780916707676
2,3.2720791060486e-06,0.2018872808432
3,1.5843724125303e-06,0.097755777853118
4,1.7662075538218e-06,0.10897500607081
5,0.077066065083862,4754.9762156743
6,0.0011709270266047,72.246197541508
7,0.067706049351348,4177.4632449782
8,10.041875417755,706115.63481326
9,10.086530417735,797197.94781885
10,10.011917650679,878363.01612163
11,10.014007734106,964077.0857627
12,10.031059890506,1053237.7492683
13,10.014149105512,1139046.5339655
14,10.013871040014,1226510.1586323
15,10.039110551183,1317235.3079099
